timestamp,pod,namespace,container,value
fault_netdelay_20260607,currencyservice-8c464cb79-29d2t,default,unknown,47009792
fault_netdelay_20260607,checkoutservice-5987dfd54c-vq6m5,default,unknown,15663104
fault_netdelay_20260607,recommendationservice-6486d59c4c-dvxb9,default,unknown,36896768
fault_netdelay_20260607,paymentservice-5d879448df-7qrln,default,unknown,45223936
fault_netdelay_20260607,adservice-8d9d67f7-n6z9t,default,unknown,107544576
fault_netdelay_20260607,redis-cart-7ff8f4d6ff-64q8m,default,unknown,19591168
fault_netdelay_20260607,emailservice-56bc5695dc-k7ngk,default,unknown,42848256
fault_netdelay_20260607,shippingservice-69cbf7c6c7-5sn8c,default,unknown,14057472
fault_netdelay_20260607,loadgenerator-5fbff6bbfd-n2pfw,default,unknown,67260416
fault_netdelay_20260607,productcatalogservice-64cd8c46d9-wt6rt,default,unknown,17514496
fault_netdelay_20260607,frontend-6dd45b5f74-4zl95,default,unknown,22056960
fault_netdelay_20260607,review-service-6666fdc7db-mf5l4,default,unknown,19144704
fault_netdelay_20260607,cartservice-7b6889d85b-qjl89,default,unknown,55726080
